product_id,product_title,rating,total_reviews,price,top_reviews
itmb07d67f995271,"Apple iPhone 16 (Black, 128 GB)",4.6,"5,447","₹69,900","5 Fabulous! Nice ones READ MORE Raj  Vishwakarma Certified Buyer , Konkan Division 1 month ago 12 0 Permalink Report Abuse || 5 Mind-blowing purchase I love it ❤️❤️ READ MORE Ravi Arya Certified Buyer , Gangoh 9 months ago 597 163 Permalink Report Abuse"
itm2b4357effaa74,"REDMI A5 (Just Black, 128 GB)",4.2,188,"₹7,499","4 Delightful Excellent at this price but brightness is less it would be 1000 nits. Camera average.So, I will give 4.5 stars READ MORE Vijay Kumar V M Certified Buyer , Bengaluru 6 months ago 191 71 Permalink Report Abuse || 4 Really Nice The best budget Phone in this Segment, Display is Good , decent performance Overall the good phone.👍🏻 READ MORE Aariz Ansari Certified Buyer , Meerut 5 months ago 33 11 Permalink Report Abuse"
